generation,train_score,test_score
289,-31.0,90.0
290,-28.5,89.0
291,-13.5,105.0
292,-18.8,97.0
293,-28.1,85.0
294,-44.1,84.0
295,-3.3,66.0
296,-18.1,76.0
297,12.6,80.0
298,-23.8,79.0
299,-5.7,84.0
300,-36.6,90.0
301,1.4,82.0
302,-8.6,95.0
303,-16.0,96.0
304,-5.5,81.0
305,-15.1,92.0
306,-53.1,91.0
307,-11.8,100.0
308,-20.4,72.0
309,-24.5,82.0
310,-38.2,59.0
311,-16.1,82.0
312,-16.9,75.0
313,-21.8,71.0
314,-34.9,64.0
315,-27.8,67.0
316,-16.2,81.0
317,-10.0,76.0
318,-13.0,73.0
319,-46.7,72.0
320,-6.4,81.0
321,-31.9,103.0
322,-27.5,90.0
323,-12.7,86.0
324,-11.4,87.0
325,-11.9,88.0
326,-19.7,91.0
327,-9.0,101.0
328,-9.3,95.0
329,-10.4,87.0
330,-17.7,79.0
331,-20.8,72.0
332,-27.6,-54.0
333,-23.0,99.0
334,-10.8,87.0
335,-18.4,85.0
336,-3.8,97.0
337,-24.0,102.0
338,0.3,85.0
339,-25.6,93.0
340,-38.0,84.0
341,-9.0,91.0
342,-4.1,93.0
343,-17.0,79.0
344,-5.3,78.0
345,-10.6,86.0
346,-17.1,90.0
347,-6.7,94.0
348,-10.8,81.0
349,-22.6,86.0
350,-13.7,84.0
351,-3.6,85.0
352,-16.3,75.0
353,-9.8,92.0
354,-23.5,91.0
355,-31.6,81.0
356,-18.1,65.0
357,-22.9,78.0
358,-17.7,77.0
359,-24.6,92.0
360,-17.0,77.0
361,-30.5,69.0
362,-3.7,78.0
363,-33.3,78.0
364,-27.9,91.0
365,-16.8,80.0
366,-28.9,85.0
367,1.1,77.0
368,1.5,82.0
369,3.1,85.0
370,-9.9,81.0
371,-9.0,84.0
372,-21.5,98.0
373,-19.5,86.0
374,-5.1,85.0
375,-14.8,85.0
376,-25.3,93.0
377,-19.5,102.0
378,-5.1,101.0
379,-6.0,89.0
380,-24.2,97.0
381,-6.5,95.0
382,-5.4,93.0
383,-11.9,95.0
384,-21.7,87.0
385,-14.0,93.0
386,-12.3,71.0
387,-14.5,80.0
388,-14.4,75.0
389,-10.3,86.0
390,-12.1,78.0
391,22.1,98.0
392,-18.9,69.0
393,-32.3,80.0
394,0.4,93.0
395,-25.5,83.0
396,-26.7,97.0
397,-18.3,87.0
398,-3.5,76.0
399,-22.2,84.0
400,-3.4,86.0
401,-17.8,77.0
402,-9.0,84.0
403,-23.9,75.0
404,-17.5,79.0
405,-27.2,90.0
406,0.6,86.0
407,-12.0,100.0
408,-12.8,84.0
409,-34.9,80.0
410,7.9,79.0
411,-2.1,91.0
412,-23.2,89.0
413,-2.4,76.0
414,-16.1,84.0
415,4.8,87.0
416,-11.7,95.0
417,-5.9,72.0
418,-5.1,91.0
419,-7.2,83.0
420,-7.2,97.0
421,-9.5,97.0
422,-2.1,90.0
423,-15.8,93.0
424,9.8,93.0
425,-10.7,74.0
426,-14.3,83.0
427,-10.8,87.0
428,-2.3,87.0
429,-7.6,96.0
430,-29.1,85.0
431,-23.1,96.0
432,-11.0,92.0
433,-11.9,96.0
434,-9.6,92.0
435,-16.2,96.0
436,-17.4,73.0
437,-6.1,87.0
438,-15.9,96.0
439,-4.8,94.0
440,-12.3,91.0
441,-15.8,90.0
442,-13.9,-76.0
443,-15.0,97.0
444,10.7,98.0
445,-6.7,-30.0
446,-12.5,103.0
447,-11.4,77.0
448,-0.5,79.0
449,-12.5,88.0
450,-13.2,79.0
451,-2.0,74.0
452,-16.9,73.0
453,-20.3,89.0
454,-3.9,81.0
455,-12.0,-47.0
456,-30.7,77.0
457,-27.9,-53.0
458,-16.1,81.0
459,-21.9,-50.0
460,-32.2,72.0
461,-40.4,69.0
462,-28.7,74.0
463,-20.8,57.0
464,-17.1,78.0
465,-52.1,84.0
466,-7.2,90.0
467,-20.2,-53.0
468,-42.1,72.0
469,-33.2,80.0
470,-19.6,74.0
471,-21.8,94.0
472,-29.6,-54.0
473,-39.0,74.0
474,-34.7,83.0
475,-32.9,92.0
476,-32.2,89.0
477,-16.4,91.0
478,-15.5,98.0
479,-60.8,106.0
480,-20.5,-73.0
481,-31.7,94.0
482,-18.8,110.0
483,-57.1,-58.0
484,-30.1,103.0
485,-23.0,95.0
486,-22.3,90.0
487,-19.2,79.0
488,-25.8,87.0
489,-19.4,96.0
490,0.9,92.0
491,-37.6,98.0
492,1.1,79.0
493,-21.0,-68.0
494,-22.9,91.0
495,-35.6,97.0
496,-29.1,90.0
497,-32.1,88.0
498,-3.8,97.0
499,-33.8,88.0
500,-45.7,82.0
501,-28.9,76.0
502,-7.0,85.0
503,-21.0,79.0
504,-27.3,92.0
505,-38.7,97.0
506,-19.0,85.0
507,-9.0,92.0
508,-23.9,87.0
509,3.9,94.0
510,-28.7,87.0
511,-4.4,91.0
512,-10.8,101.0
513,-9.9,104.0
514,-22.6,95.0
515,-10.2,97.0
516,-11.1,106.0
517,-20.9,93.0
518,-19.8,73.0
519,-14.7,86.0
520,-53.6,84.0
521,-47.8,75.0
522,-44.0,82.0
523,-20.2,100.0
524,-26.6,82.0
525,-22.4,72.0
526,-27.3,-46.0
527,-25.2,83.0
528,-3.0,81.0
529,-11.0,77.0
530,-15.0,86.0
531,-11.3,74.0
532,-9.8,92.0
533,-16.3,81.0
534,-21.6,89.0
535,-12.6,79.0
