generation,train_score,test_score
0,-26.1,-36.0
1,-18.8,-26.0
2,-20.8,-4.0
3,-16.0,-6.0
4,-5.7,3.0
5,-8.5,0.0
6,-2.0,12.0
7,3.3,9.0
8,-6.5,18.0
9,1.0,26.0
10,-3.2,16.0
11,10.2,26.0
12,1.7,28.0
13,13.1,44.0
14,19.0,41.0
15,7.8,32.0
16,17.3,37.0
17,18.5,28.0
18,16.9,47.0
19,14.4,44.0
20,23.1,41.0
21,28.8,45.0
22,27.5,44.0
23,26.7,59.0
24,17.7,39.0
25,30.9,47.0
26,35.9,52.0
27,24.3,36.0
28,22.8,35.0
29,32.3,49.0
30,29.7,57.0
31,29.5,48.0
32,25.2,42.0
33,36.8,51.0
34,26.3,56.0
35,16.4,49.0
36,38.4,44.0
37,43.1,51.0
38,35.1,59.0
39,39.9,46.0
40,27.2,60.0
41,42.3,65.0
42,25.7,50.0
43,31.6,63.0
44,44.4,59.0
45,31.8,75.0
46,39.8,58.0
47,26.1,61.0
48,31.8,68.0
49,41.1,78.0
50,35.6,66.0
51,38.5,70.0
52,46.6,59.0
53,38.8,67.0
54,36.2,61.0
55,30.0,58.0
56,47.4,67.0
57,31.7,64.0
58,48.2,68.0
59,42.5,66.0
60,54.1,72.0
61,51.7,69.0
62,47.0,65.0
63,34.1,85.0
64,45.6,72.0
65,38.0,77.0
66,45.1,79.0
67,45.3,83.0
68,37.5,63.0
69,40.3,67.0
70,37.4,73.0
71,43.2,84.0
72,43.9,69.0
73,43.1,59.0
74,49.3,73.0
75,43.4,83.0
76,46.7,81.0
77,37.8,70.0
78,44.2,84.0
79,33.7,80.0
80,32.4,71.0
81,46.1,66.0
82,52.3,82.0
83,52.2,61.0
84,36.0,78.0
85,51.4,90.0
86,45.4,92.0
87,54.9,104.0
88,37.9,68.0
89,30.4,64.0
90,42.6,98.0
91,39.6,74.0
92,48.2,89.0
93,47.1,84.0
94,39.2,79.0
95,43.7,85.0
96,48.0,91.0
97,39.4,92.0
98,55.5,86.0
99,55.7,107.0
