generation,train_score,test_score
0,-32.4,-31.0
1,-20.4,-21.0
2,-14.9,-18.0
3,-9.6,4.0
4,-7.4,6.0
5,-2.3,-3.0
6,-5.8,9.0
7,-6.3,4.0
8,4.8,3.0
9,1.9,24.0
10,6.7,14.0
11,1.4,25.0
12,10.3,24.0
13,10.1,23.0
14,8.1,29.0
15,10.4,28.0
16,9.7,35.0
17,8.2,24.0
18,22.4,35.0
19,23.4,22.0
20,21.6,44.0
21,35.8,36.0
22,26.9,43.0
23,26.6,38.0
24,21.1,30.0
25,16.6,42.0
26,25.8,40.0
27,36.7,40.0
28,28.5,41.0
29,18.7,38.0
30,21.9,35.0
31,25.6,51.0
32,32.0,35.0
33,40.8,43.0
34,29.9,48.0
35,35.9,47.0
36,29.7,35.0
37,42.9,52.0
38,23.1,38.0
39,33.3,62.0
40,38.5,67.0
41,43.7,55.0
42,30.7,57.0
43,50.4,48.0
44,43.4,56.0
45,32.1,62.0
46,39.7,55.0
47,43.3,63.0
48,37.2,55.0
49,48.2,56.0
50,36.3,61.0
51,33.3,67.0
52,32.9,53.0
53,52.6,63.0
54,37.8,70.0
55,46.7,51.0
56,41.0,60.0
57,42.5,60.0
58,43.8,48.0
59,45.3,66.0
60,57.0,62.0
61,48.1,80.0
62,39.1,62.0
63,41.5,69.0
64,47.7,55.0
65,32.3,52.0
66,45.1,80.0
67,40.5,53.0
68,47.2,60.0
69,44.0,61.0
70,38.3,75.0
71,39.2,80.0
72,44.3,82.0
73,47.3,62.0
74,47.0,87.0
75,37.6,79.0
76,33.7,88.0
77,47.2,72.0
78,39.9,84.0
79,48.3,78.0
80,42.8,92.0
81,54.7,76.0
82,55.9,75.0
83,52.0,95.0
84,40.6,77.0
85,49.4,76.0
86,51.3,79.0
87,53.5,75.0
88,45.0,79.0
89,49.5,85.0
90,41.1,90.0
91,39.7,83.0
92,43.7,90.0
93,58.2,80.0
94,41.2,86.0
95,52.6,106.0
96,48.6,87.0
97,50.3,84.0
98,40.9,88.0
99,40.1,102.0
