generation,train_score,test_score
0,97.9,209.0
1,148.9,205.0
2,141.4,226.0
3,133.7,223.0
4,148.3,224.0
5,150.7,225.0
6,144.8,226.0
7,130.6,227.0
8,150.7,227.0
9,145.6,226.0
10,128.2,225.0
11,140.1,226.0
12,157.9,225.0
13,130.8,225.0
14,147.3,224.0
15,149.3,227.0
16,142.0,227.0
17,160.0,225.0
18,142.1,225.0
19,120.8,226.0
20,151.7,225.0
21,129.4,114.0
22,128.0,224.0
23,163.6,226.0
24,127.5,185.0
25,147.2,228.0
26,120.8,226.0
27,136.7,228.0
28,128.2,225.0
29,122.1,228.0
30,108.4,227.0
31,122.8,108.0
32,93.9,135.0
33,192.9,222.0
34,141.4,226.0
35,204.2,222.0
36,214.1,225.0
37,211.4,224.0
38,193.8,226.0
39,150.3,218.0
40,212.4,223.0
41,155.6,126.0
42,105.3,226.0
43,157.6,222.0
44,126.3,227.0
45,129.7,224.0
46,133.0,108.0
47,135.3,223.0
48,207.6,223.0
49,181.0,149.0
50,212.0,223.0
51,209.1,222.0
52,208.1,221.0
53,185.0,220.0
54,203.4,223.0
55,213.5,225.0
56,208.8,224.0
57,201.9,223.0
58,216.1,221.0
59,192.2,222.0
60,199.1,225.0
61,204.0,221.0
62,219.4,223.0
63,161.6,138.0
64,89.7,79.0
65,66.9,126.0
66,152.2,226.0
67,206.4,223.0
68,225.5,224.0
69,192.9,224.0
70,196.4,149.0
71,133.8,222.0
72,209.5,224.0
73,208.8,224.0
74,206.3,219.0
75,205.6,222.0
76,156.9,223.0
77,204.6,222.0
78,170.9,188.0
79,188.6,224.0
80,186.3,223.0
81,205.5,221.0
82,199.5,220.0
83,201.3,223.0
84,197.2,223.0
85,198.6,141.0
86,121.5,222.0
87,206.9,221.0
88,197.0,222.0
89,202.9,225.0
90,214.9,222.0
91,206.4,222.0
92,98.9,44.0
93,94.6,136.0
94,103.2,132.0
95,149.5,223.0
96,198.0,219.0
97,197.5,222.0
98,197.2,224.0
99,193.1,158.0
100,209.0,224.0
101,202.7,224.0
102,185.8,153.0
103,196.8,151.0
104,187.2,223.0
105,200.4,223.0
106,215.9,222.0
107,192.9,223.0
108,203.9,220.0
109,208.2,222.0
110,157.5,50.0
111,59.6,84.0
112,175.1,224.0
113,203.5,223.0
114,201.5,225.0
115,216.8,222.0
116,207.0,223.0
117,195.9,223.0
118,205.6,141.0
119,168.7,133.0
120,139.5,222.0
121,205.1,221.0
122,204.7,223.0
123,215.2,225.0
124,212.5,224.0
125,199.3,223.0
126,208.3,220.0
127,208.6,221.0
128,158.9,50.0
129,181.9,221.0
130,197.7,224.0
131,192.3,220.0
132,201.4,218.0
133,198.3,220.0
134,217.3,223.0
135,211.5,220.0
136,195.1,224.0
137,212.1,223.0
138,213.2,221.0
139,210.9,218.0
140,214.1,223.0
141,203.8,224.0
142,205.8,223.0
143,195.5,133.0
144,192.1,223.0
145,217.6,221.0
146,210.6,217.0
147,206.3,225.0
148,211.0,221.0
149,159.1,87.0
150,142.6,221.0
151,190.7,225.0
152,204.9,220.0
153,210.7,221.0
154,207.5,218.0
155,208.2,219.0
156,225.5,220.0
157,212.3,222.0
158,181.3,144.0
159,84.2,50.0
160,56.9,50.0
161,150.7,220.0
162,191.8,222.0
163,200.7,221.0
164,202.3,222.0
165,205.1,223.0
166,201.7,226.0
167,201.4,220.0
168,191.9,224.0
169,212.7,225.0
170,218.8,223.0
171,199.9,222.0
172,204.5,222.0
173,133.9,50.0
174,58.0,59.0
175,94.4,224.0
176,208.1,223.0
177,215.9,222.0
178,192.0,218.0
179,162.8,64.0
180,182.8,222.0
181,211.5,219.0
182,209.9,221.0
183,196.2,221.0
184,211.1,220.0
185,151.2,221.0
186,188.3,209.0
187,208.5,223.0
188,199.8,221.0
189,189.1,225.0
190,210.8,219.0
191,213.8,222.0
192,210.9,223.0
193,206.1,222.0
194,206.1,219.0
195,198.6,221.0
196,216.8,221.0
197,197.6,220.0
198,186.3,115.0
199,208.4,223.0
