generation,train_score,test_score
0,82.3,222.0
1,108.6,220.0
2,93.1,223.0
3,116.9,219.0
4,111.3,224.0
5,127.8,222.0
6,104.7,222.0
7,104.1,221.0
8,109.7,224.0
9,104.6,224.0
10,115.6,225.0
11,116.1,222.0
12,95.6,162.0
13,103.7,156.0
14,76.4,158.0
15,108.0,222.0
16,111.8,223.0
17,108.4,163.0
18,89.1,159.0
19,93.5,156.0
20,101.6,224.0
21,92.4,154.0
22,117.1,221.0
23,100.1,145.0
24,111.8,168.0
25,94.3,165.0
26,110.5,160.0
27,125.6,223.0
28,87.0,163.0
29,115.3,154.0
30,99.4,220.0
31,111.7,220.0
32,100.2,223.0
33,96.6,153.0
34,87.8,221.0
35,89.1,157.0
36,102.2,156.0
37,91.6,149.0
38,94.2,222.0
39,103.2,161.0
40,106.0,160.0
41,98.5,152.0
42,94.8,154.0
43,109.7,224.0
44,110.7,164.0
45,90.4,154.0
46,98.3,222.0
47,83.4,158.0
48,99.0,165.0
49,91.6,164.0
50,99.2,224.0
51,100.0,224.0
52,90.5,154.0
53,97.0,220.0
54,91.8,149.0
55,114.5,151.0
56,93.9,221.0
57,99.4,222.0
58,89.5,160.0
59,102.2,152.0
60,99.6,156.0
61,107.4,156.0
62,106.7,163.0
63,104.6,164.0
64,87.8,160.0
65,91.6,153.0
66,90.9,163.0
67,107.2,156.0
68,91.6,152.0
69,102.5,158.0
70,102.5,223.0
71,85.8,165.0
72,103.4,222.0
73,90.1,158.0
74,90.1,150.0
75,113.3,150.0
76,94.6,220.0
77,101.1,222.0
78,88.8,152.0
79,81.3,221.0
80,95.8,221.0
81,102.2,158.0
82,81.5,156.0
83,93.6,163.0
84,94.8,218.0
85,101.7,224.0
86,105.7,221.0
87,93.8,147.0
88,95.2,162.0
89,85.3,160.0
90,96.5,161.0
91,98.9,220.0
92,89.8,153.0
93,107.8,220.0
94,87.7,220.0
95,116.5,222.0
96,110.1,161.0
97,105.9,155.0
98,110.7,153.0
99,101.6,159.0
