generation,train_score,test_score
0,4.7,297.0
1,30.1,295.0
2,47.7,304.0
3,60.6,304.0
4,47.2,296.0
5,51.4,291.0
6,57.8,304.0
7,49.4,300.0
8,56.0,295.0
9,46.5,304.0
10,37.4,291.0
11,62.0,289.0
12,66.0,305.0
13,28.6,296.0
14,33.5,294.0
15,49.2,304.0
16,60.4,293.0
17,42.9,296.0
18,64.3,292.0
19,39.4,300.0
20,32.2,296.0
21,52.3,298.0
22,64.0,300.0
23,46.6,298.0
24,26.8,291.0
25,42.6,283.0
26,46.7,296.0
27,49.7,304.0
28,56.6,283.0
29,45.5,300.0
30,61.3,302.0
31,37.3,294.0
32,27.9,295.0
33,51.5,304.0
34,52.3,301.0
35,42.4,293.0
36,55.0,290.0
37,43.3,299.0
38,44.2,293.0
39,57.4,305.0
40,37.1,302.0
41,41.6,299.0
42,31.6,307.0
43,46.9,304.0
44,39.4,307.0
45,51.3,302.0
46,55.4,299.0
47,44.9,295.0
48,34.9,296.0
49,37.1,299.0
50,26.8,301.0
51,11.6,299.0
52,43.1,296.0
53,33.2,298.0
54,21.3,297.0
55,38.0,299.0
56,32.7,294.0
57,66.9,288.0
58,48.7,299.0
59,48.6,301.0
60,48.3,310.0
61,44.9,297.0
62,48.3,305.0
63,19.2,288.0
64,19.0,287.0
65,39.8,293.0
66,35.8,288.0
67,36.3,292.0
68,49.3,296.0
69,41.7,292.0
70,36.8,293.0
71,71.4,297.0
72,39.8,296.0
73,51.3,295.0
74,63.1,293.0
75,17.6,295.0
76,60.1,304.0
77,69.7,303.0
78,27.6,294.0
79,62.1,306.0
80,45.3,292.0
81,62.4,302.0
82,66.2,283.0
83,32.7,296.0
84,56.2,297.0
85,59.3,299.0
86,45.0,306.0
87,31.7,305.0
88,34.0,291.0
89,45.7,303.0
90,36.6,294.0
91,41.3,293.0
92,30.7,301.0
93,46.6,303.0
94,57.2,297.0
95,79.3,301.0
96,37.9,302.0
97,66.8,300.0
98,36.4,302.0
99,31.9,303.0
