generation,train_score,test_score
0,-88.1,-94.0
1,-90.2,-98.0
2,-77.5,-64.0
3,-64.5,-44.0
4,-67.6,-30.0
5,-66.5,-12.0
6,-44.5,-9.0
7,-58.9,0.0
8,-62.6,-3.0
9,-46.9,8.0
10,-44.5,18.0
11,-49.8,31.0
12,-43.5,23.0
13,-48.1,44.0
14,-34.3,46.0
15,-37.8,66.0
16,-43.3,42.0
17,-28.5,52.0
18,-44.6,54.0
19,-22.9,64.0
20,-34.7,64.0
21,-39.6,69.0
22,-19.7,71.0
23,-20.4,80.0
24,-14.3,78.0
25,-19.3,58.0
26,-39.3,71.0
27,-11.6,79.0
28,-8.5,54.0
29,-29.7,75.0
30,-22.2,59.0
31,-20.9,62.0
32,-32.9,78.0
33,-19.8,78.0
34,-23.5,60.0
35,-14.4,76.0
36,-14.8,89.0
37,-35.4,66.0
38,-35.6,61.0
39,-45.9,61.0
40,-41.0,67.0
41,-31.9,66.0
42,-8.7,60.0
43,-22.2,71.0
44,-35.0,54.0
45,-31.1,59.0
46,-27.1,76.0
47,-26.9,72.0
48,-25.1,71.0
49,-34.0,81.0
50,-43.6,74.0
51,-30.7,64.0
52,-23.2,66.0
53,-29.1,69.0
54,-28.5,52.0
55,-45.5,49.0
56,-21.1,55.0
57,-18.6,78.0
58,-21.7,60.0
59,-19.9,63.0
60,-29.7,72.0
61,-39.8,61.0
62,-8.3,72.0
63,-28.9,69.0
64,-13.1,56.0
65,-8.9,67.0
66,-9.6,75.0
67,1.2,79.0
68,7.2,79.0
69,-9.2,79.0
70,-8.7,74.0
71,-38.8,81.0
72,-22.3,66.0
73,-21.5,77.0
74,-15.3,78.0
75,-36.7,77.0
76,-23.7,76.0
77,-24.8,70.0
78,-34.8,70.0
79,-22.4,84.0
80,-26.6,67.0
81,-31.0,73.0
82,-37.4,68.0
83,-23.1,73.0
84,-29.6,57.0
85,-15.7,73.0
86,-9.1,97.0
87,-25.2,88.0
88,-18.3,81.0
89,-17.3,80.0
90,-3.7,82.0
91,-18.2,72.0
92,-14.8,85.0
93,-35.3,83.0
94,-17.0,81.0
95,-29.7,73.0
96,-18.9,77.0
97,-32.5,78.0
98,-26.5,96.0
99,-37.8,73.0
